id,author,description,guid,to,likecount,link,pubdate,replycount,title,authorChannelUrl,
157,"@edysupriyono3922","Lumayan gratis tanpa bersusah payah bisa buat mainan anak cucu di rumah","Ugw-aSSdzPKu-Kt6WUJ4AaABAg","",0,"https://www.youtube.com/watch?v=q5MZIa3LwxM&lc=Ugw-aSSdzPKu-Kt6WUJ4AaABAg","2024-04-30 09:48:51",0,"Lumayan gratis tanpa bersusah payah bisa buat mainan anak cucu di rumah","http://www.youtube.com/@edysupriyono3922",
158,"@witawiwied7448","Mentri keuangan nya kya yang ketakutan","Ugz_Js6B4BT-kG75VcF4AaABAg","",0,"https://www.youtube.com/watch?v=q5MZIa3LwxM&lc=Ugz_Js6B4BT-kG75VcF4AaABAg","2024-04-30 09:29:39",0,"Mentri keuangan nya kya yang ketakutan","http://www.youtube.com/@witawiwied7448",
159,"@donezgaming6680","pantesan pada KAYA ternyata hasil UANG HARAM, 😅😅😅MIRIS HIDUP DI NEGARA SARANG KORUPTOR","UgyyxAkKq9wkDTD2HrV4AaABAg","",2,"https://www.youtube.com/watch?v=q5MZIa3LwxM&lc=UgyyxAkKq9wkDTD2HrV4AaABAg","2024-04-30 09:28:54",0,"pantesan pada KAYA ternyata hasil UANG HARAM, 😅😅😅MIRIS HIDUP DI NEGARA SARANG KORUPTOR","http://www.youtube.com/@donezgaming6680",
160,"@dirhamhadinov","layanan terburuk beacuka sedunia😂😂!! danasih si pelihara negara","Ugxe8brupTvtNkYmk5F4AaABAg","",1,"https://www.youtube.com/watch?v=q5MZIa3LwxM&lc=Ugxe8brupTvtNkYmk5F4AaABAg","2024-04-30 09:26:18",0,"layanan terburuk beacuka sedunia😂😂!! danasih si pelihara negara","http://www.youtube.com/@dirhamhadinov",
161,"@SyahrirCar","Harus nya pejabat juga harus diperiksa barang bawaannya seperti halnya orang biasa.","UgxBU1ZETa2xpTBFyUd4AaABAg","",0,"https://www.youtube.com/watch?v=q5MZIa3LwxM&lc=UgxBU1ZETa2xpTBFyUd4AaABAg","2024-04-30 08:15:03",0,"Harus nya pejabat juga harus diperiksa barang bawaannya seperti halnya orang biasa.","http://www.youtube.com/@SyahrirCar",
162,"@adressamoss3984","Pingin masalah mulus , Kasih kami Fulluss 🤑🤑💸💸💸","UgxH-acfA9ZRQgFCr3R4AaABAg","",0,"https://www.youtube.com/watch?v=q5MZIa3LwxM&lc=UgxH-acfA9ZRQgFCr3R4AaABAg","2024-04-30 08:05:42",0,"Pingin masalah mulus , Kasih kami Fulluss 🤑🤑💸💸💸","http://www.youtube.com/@adressamoss3984",
163,"@user-tc8oz2vc3c","Bea cukai haris dikoreksi dan harus memberi info pada masyarakat","UgziLjgtFv6Py-GDvfB4AaABAg","",0,"https://www.youtube.com/watch?v=q5MZIa3LwxM&lc=UgziLjgtFv6Py-GDvfB4AaABAg","2024-04-30 07:37:29",0,"Bea cukai haris dikoreksi dan harus memberi info pada masyarakat","http://www.youtube.com/@user-tc8oz2vc3c",
164,"@dodyrainst4871","Jelas sarangnya mana mau di introgasi.. inget Dosa..!!","UgweuLTRuG7qAhEXSsh4AaABAg","",0,"https://www.youtube.com/watch?v=q5MZIa3LwxM&lc=UgweuLTRuG7qAhEXSsh4AaABAg","2024-04-30 07:35:12",0,"Jelas sarangnya mana mau di introgasi.. inget Dosa..!!","http://www.youtube.com/@dodyrainst4871",
165,"@ShineeAce","gak viral gak diurus.","UgwH8qU2UmMNt-aH4wN4AaABAg","",0,"https://www.youtube.com/watch?v=q5MZIa3LwxM&lc=UgwH8qU2UmMNt-aH4wN4AaABAg","2024-04-30 07:33:07",0,"gak viral gak diurus.","http://www.youtube.com/@ShineeAce",
166,"@royketelienoni2586","Tunggu viral trs Menteri turun baru kelar urusan nya.. terus itu dirjen bea cukai sama jajaran nya ngapain aja? Makan gaji buta meras rakyat sendiri?😅 dirjen nya harus di selidiki kpk dan segera copot!","UgwHxZqaa_b4iKwxT_V4AaABAg","",0,"https://www.youtube.com/watch?v=q5MZIa3LwxM&lc=UgwHxZqaa_b4iKwxT_V4AaABAg","2024-04-30 07:32:48",0,"Tunggu viral trs Menteri turun baru kelar urusan nya.. terus itu dirjen bea cukai sama jajaran nya ngapain aja? Makan gaji buta meras rakyat sendiri?😅 dirjen nya harus di selidiki kpk dan segera copot!","http://www.youtube.com/@royketelienoni2586",
